,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
59,frozenset({15668465}),frozenset({15668688}),0.12947976878612716,0.1857418111753372,0.047784200385356454,0.36904761904761907,1.9868850029638412,1.0,0.023734393620457303,1.2905224124768242,0.5705779034400034,0.1786743515850144,0.22512000540869448,0.3131545149180004
37,frozenset({15668381}),frozenset({15668685}),0.20423892100192678,0.07784200385356455,0.03121387283236994,0.15283018867924528,1.9633383149635717,1.0,0.015315505956690092,1.0885161201728526,0.6165964188563058,0.12442396313364056,0.08131815278840013,0.27691014384457313
36,frozenset({15668685}),frozenset({15668381}),0.07784200385356455,0.20423892100192678,0.03121387283236994,0.40099009900990096,1.9633383149635717,1.0,0.015315505956690092,1.3284606442777749,0.5320817404673095,0.12442396313364056,0.24724905904634042,0.27691014384457313
60,frozenset({15668688}),frozenset({15668467}),0.1857418111753372,0.13448940269749518,0.047013487475915224,0.25311203319502074,1.882022137940054,1.0,0.02203318223499319,1.1588225219439092,0.5755626760180925,0.17207334273624825,0.1370550873290645,0.3013411168840433
61,frozenset({15668467}),frozenset({15668688}),0.13448940269749518,0.1857418111753372,0.047013487475915224,0.3495702005730659,1.882022137940054,1.0,0.02203318223499319,1.2518771273119265,0.5414799351853203,0.17207334273624825,0.20119956009801518,0.3013411168840433
42,frozenset({15668460}),frozenset({15668462}),0.18458574181117535,0.1252408477842004,0.04315992292870906,0.23382045929018788,1.8669664364862693,1.0,0.02004224813540193,1.1417156237366977,0.5694917971914664,0.16184971098265896,0.12412515059825444,0.2892179219527862
43,frozenset({15668462}),frozenset({15668460}),0.1252408477842004,0.18458574181117535,0.04315992292870906,0.3446153846153846,1.8669664364862693,1.0,0.02004224813540193,1.2441766850298965,0.5308566708621775,0.16184971098265896,0.19625563472444377,0.2892179219527862
19,frozenset({15668468}),frozenset({15668379}),0.12639691714836224,0.18458574181117535,0.04315992292870906,0.34146341463414637,1.8498905239574317,1.0,0.019828854214232944,1.238221651323771,0.5258995525868044,0.16115107913669066,0.1923901516897967,0.2876419369621671
18,frozenset({15668379}),frozenset({15668468}),0.18458574181117535,0.12639691714836224,0.04315992292870906,0.23382045929018788,1.8498905239574315,1.0,0.019828854214232944,1.1402067484630367,0.5634283013772617,0.16115107913669066,0.12296607492635092,0.2876419369621671
56,frozenset({15668465}),frozenset({15668478}),0.12947976878612716,0.14258188824662812,0.03391136801541426,0.2619047619047619,1.836872586872587,1.0,0.015449898092151425,1.1616632481819877,0.5233611010503441,0.14239482200647247,0.13916532905296952,0.24987129987129988
